382,60
382,61
382,62
380,64
380,65
380,67
380,68
380,71
378,72
366,73
351,73
331,73
309,73
292,73
279,72
269,70
263,69
259,64
259,62
259,61
261,61
262,61
269,61
277,61
286,62
297,63
309,66
320,71
331,77
339,81
346,85
352,89
358,94
367,98
377,102
387,107
399,113
411,118
427,128
444,137
457,146
467,155
476,162
485,171
494,180
502,190
510,200
516,211
521,220
523,230
523,238
523,246
522,252
521,259
519,264
517,271
515,277
512,284
509,293
506,301
502,309
498,315
492,320
485,324
478,330
469,335
460,340
450,344
441,347
432,349
424,349
414,349
403,349
392,349
380,349
363,349
346,348
320,347
288,343
256,338
226,332
194,326
164,320
139,314
119,306
106,299
95,294
87,289
82,285
78,282
76,279
73,277
70,273
66,268
63,264
61,259
58,252
56,247
54,241
52,236
51,233
51,230
47,224
45,219
42,213
40,209
37,204
36,201
34,196
33,193
32,191
31,186
30,183
30,180
30,178
30,177
30,176
30,173
30,172
31,168
32,162
34,154
37,144
40,133
40,120
40,107
40,94
40,82
40,73
40,65
40,56
40,52
40,49
40,44
39,38
37,33
36,29
279,174
278,174
275,174
274,176
271,176
268,177
267,179
263,182
263,184
263,187
264,188
265,188
273,188
283,188
297,188
310,188
324,188
336,188
350,187
362,185
376,180
393,176
407,171
421,168
433,165
444,162
452,162
455,162
457,162
456,162
444,162
421,162
382,162
341,162
293,162
241,162
212,164
193,165
180,166
173,167
170,168
170,170
171,171
178,171
192,172
213,175
241,176
273,181
307,182
341,180
364,179
380,177
397,171
411,165
420,159
428,152
433,147
436,143
436,138
436,133
436,129
436,128
426,125
411,120
386,112
355,104
321,91
288,80
254,70
223,59
200,52
178,44
160,41
145,40
133,42
122,43
113,45
105,49
97,56
89,65
82,75
78,86
71,99
66,112
64,123
64,135
65,149
66,161
68,173
70,184
73,194
77,203
81,209
83,212
86,216
92,223
93,227
95,228
96,231
98,233
99,233
107,234
118,237
132,239
147,240
168,242
185,242
204,242
217,242
231,242
243,241
254,238
264,236
275,234
285,231
295,229
300,227
301,225
301,224
298,220
292,218
279,217
261,215
237,212
216,210
202,210
191,209
185,209
179,209
187,209
197,210
209,211
223,211
240,211
257,211
274,211
290,211
307,211
319,210
332,209
340,207
347,203
352,200
355,195
355,191
355,187
355,182
354,178
352,172
349,166
344,158
339,151
333,145
328,141
326,138
323,134
318,129
315,129
313,129
312,129
312,130
303,132
302,132
301,129
299,129
297,128
294,125
292,125
290,124
287,123
284,123
283,123
233,180
233,184
233,188
234,191
235,191
236,191
239,191
245,190
251,189
258,188
265,186
270,183
273,181
279,177
284,172
288,169
290,166
290,164
290,161
290,160
290,159
288,157
287,155
284,155
283,155
278,155
270,156
258,158
243,161
224,165
209,170
195,174
183,178
174,181
167,184
165,185
166,184
167,184
171,182
177,179
184,174
191,170
199,165
205,160
211,154
214,150
215,145
215,141
215,137
215,134
215,131
213,130
212,127
209,123
207,121
203,120
199,120
192,120
183,119
172,118
161,117
148,115
136,115
124,115
116,115
110,115
107,115
105,115
103,115
116,118
120,119
122,121
124,121
124,122
127,124
128,125
130,127
134,134
127,186
124,184
124,182
123,182
6,86
3,83
211,168
212,166
213,165
213,164
214,164
215,163
216,162
216,161
217,161
218,160
219,159
220,158
222,157
222,155
224,154
226,152
228,150
229,149
231,147
233,146
235,144
237,143
238,142
240,140
242,138
244,136
246,134
246,133
249,133
250,133
238,141
